Designator,Mid X,Mid Y,Rotation,Layer
A1,156.835,-60.325,180.0,top
BRD1,143.5,-80.31,90.0,top
D1,95.249999,-47.625,180.0,top
D10,133.349999,-77.703947,180.0,top
D11,57.31264465809461,-83.03687451465785,188.0,top
D12,95.249999,-85.725,180.0,top
D13,38.866655658094615,-88.66674451465785,188.0,top
D14,114.299999,-90.738158,180.0,top
D15,76.71897694905725,-91.39413608243653,182.0,top
D16,133.349999,-96.753947,180.0,top
D17,59.96389165809462,-101.90148151465786,188.0,top
D18,41.51790365809462,-107.53135151465786,188.0,top
D19,114.27705146102349,-116.761735443089,170.0,top
D2,114.299999,-52.638158,180.0,top
D20,130.4846101376825,-121.72100459665457,145.0,top
D21,145.45376716367923,-132.57052016367925,135.0,top
D3,75.38930694905726,-53.31734608243653,182.0,top
D4,133.349999,-58.653947,180.0,top
D5,54.66139665809462,-64.17226851465784,188.0,top
D6,95.249999,-66.675,180.0,top
D7,36.21540865809462,-69.80213751465786,188.0,top
D8,114.299999,-71.688158,180.0,top
D9,76.05414194905725,-72.35574108243654,182.0,top
J1,157.4922763380215,-91.56858988832576,330.0,bottom
J2,158.44477633802148,-93.21836811167424,210.0,top
JP1,151.765,-100.965,0.0,top
R2,145.415,-92.075,90.0,top
SW1,95.249999,-38.1,0.0,top
SW10,133.349999,-68.178947,0.0,top
SW11,55.987021,-73.604572,8.0,top
SW12,95.249999,-76.2,0.0,top
SW13,37.541032,-79.234442,8.0,top
SW14,114.299999,-81.213158,0.0,top
SW15,76.38656,-81.874939,2.0,top
SW16,133.349999,-87.228947,0.0,top
SW17,58.638268,-92.469179,8.0,top
SW18,40.19228,-98.099049,8.0,top
SW19,115.931051,-107.381442,350.0,top
SW2,114.299999,-43.113158,0.0,top
SW20,135.947926,-113.918581,325.0,top
SW21,152.188959,-125.835329,315.0,top
SW22,159.5,-113.0,270.0,top
SW3,75.05689,-43.798149,2.0,top
SW4,133.349999,-49.128947,0.0,top
SW5,53.335773,-54.739966,8.0,top
SW6,95.249999,-57.15,0.0,top
SW7,34.889785,-60.369835,8.0,top
SW8,114.299999,-62.163158,0.0,top
SW9,75.721725,-62.836544,2.0,top
U1,149.225,-95.7525,270.0,top
